Order,PID,MS SubClass,MS Zoning,Lot Frontage, ,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Year,Rooms,,
1286,526321122,72,RM,"62,00",2,12442,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,8,1924,2222,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,PConc,TA,TA,No,Unf,2,Unf,2,652,652,GasA,Gd,Y,SBrkr,958,581,2,1539,2,2,2,2,3,1,Gd,8,Typ,1,Po,Detchd,1983,Unf,2,686,Gd,TA,P,72,78,68,2,2,2,,,,2,6,2228,WD ,Normal,157522,1999 or older,7 rooms or more,
1287,526321122,52,RM,"57,00",2,9184,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1,5Fin,5,7,1948,2225,Gable,CompShg,WdShing,Wd Shng,None,2,TA,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,782,782,GasA,Ex,Y,SBrkr,948,375,2,1323,2,2,1,2,3,1,TA,6,Typ,2,,Detchd,1948,Unf,2,422,TA,TA,Y,2,2,2,2,2,2,,,,2,7,2228,WD ,Normal,122622,1999 or older,6 rooms or less
1288,526321122,72,RM,"82,00",2,4822,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1912,2223,Gable,CompShg,AsbShng,AsbShng,None,2,TA,TA,BrkTil,TA,Fa,No,Unf,2,Unf,2,682,682,GasA,Fa,N,SBrkr,682,682,2,1362,2,2,1,2,2,1,TA,6,Typ,2,,Attchd,1912,Unf,1,332,Fa,TA,Y,192,52,2,2,2,2,,,,2,1,2228,WD ,Normal,111222,1999 or older,6 rooms or less,
1289,526321122,52,RM,"62,00",2,12442,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,6,7,1922,1952,Gable,CompShg,BrkFace,Wd Sdng,None,2,Gd,Gd,BrkTil,Gd,TA,No,LwQ,493,Unf,2,1217,1512,GasW,Ex,Y,SBrkr,1584,1228,2,2792,2,2,2,2,5,1,TA,8,Mod,2,TA,Detchd,1922,Unf,2,522,Fa,TA,Y,2,547,2,2,482,2,,MnPrv,Shed,1152,6,2228,WD ,Normal,256222,1999 or older,7 rooms or more
1292,526321122,32,RM,"62,00",2,4822,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,4,1942,1952,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,Fa,TA,No,Unf,2,Unf,2,672,672,GasA,TA,Y,SBrkr,672,2,2,672,2,2,1,2,2,1,TA,4,Typ,2,,Detchd,1952,Unf,1,256,TA,TA,Y,2,2,2,2,2,2,,MnPrv,,2,8,2228,WD ,Normal,64222,1999 or older,6 rooms or less,
1291,526321122,75,RM,"62,00",2,6222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2,5Unf,6,7,1915,2225,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,Gd,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,728,728,GasA,Gd,Y,SBrkr,728,728,2,1456,2,2,1,1,4,1,Gd,7,Typ,2,,Detchd,1915,Unf,1,328,Fa,Fa,N,2,2,248,2,2,2,,,,2,6,2228,WD ,Normal,139522,1999 or older,7 rooms or more
1292,526321122,192,RM,"63,00",2,11426,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1,5Fin,4,6,1912,1996,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,Stone,TA,TA,No,Unf,2,Unf,2,828,828,GasA,Gd,Y,FuseA,828,658,128,1594,2,2,2,2,3,2,TA,9,Typ,2,,,,,2,2,,,N,2,172,129,2,2,2,,,,2,6,2228,WD ,Normal,118222,1999 or older,7 rooms or more
1293,526321122,52,RM,"63,00",2,11426,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,7,5,2223,2223,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,1362,1362,GasA,Ex,Y,SBrkr,1362,722,2,2282,2,2,2,1,3,1,Gd,6,Mod,2,,Detchd,2223,Unf,2,484,TA,TA,N,282,238,2,2,2,2,,,,2,6,2228,WD ,Normal,222222,2222 or newer,6 rooms or less
1294,526321122,52,RM,"63,00",2,7628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,4,6,1942,1985,Gable,CompShg,MetalSd,MetalSd,None,2,TA,Gd,BrkTil,TA,TA,No,Unf,2,Unf,2,821,821,GasA,Gd,Y,FuseA,1295,561,2,1656,2,2,2,2,2,1,TA,8,Mod,2,,Detchd,1958,Unf,2,442,TA,TA,Y,187,2,2,2,2,2,,,,2,5,2228,WD ,Normal,119164,1999 or older,7 rooms or more
1295,526321122,52,RM,"81,00",2,7328,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1,5Fin,5,5,1922,1952,Gable,CompShg,WdShing,Wd Shng,None,2,Fa,Fa,BrkTil,TA,TA,No,Rec,362,Unf,2,576,936,GasA,Gd,N,FuseA,962,782,2,1742,2,2,1,2,2,1,Ex,6,Typ,1,Gd,Detchd,1922,Unf,1,225,Fa,Fa,N,2,2,236,2,2,2,,,,2,6,2228,WD ,Normal,122252,1999 or older,6 rooms or less
1296,526321122,32,RM,"62,00",2,5422,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,6,1922,2226,Gable,CompShg,Stucco,Stucco,None,2,Gd,TA,CBlock,TA,TA,No,Unf,2,Unf,2,931,931,GasA,TA,Y,SBrkr,1227,2,2,1227,2,1,1,2,2,1,Gd,5,Typ,1,TA,,,,2,2,,,N,2,28,2,2,2,2,,,,2,2,2228,WD ,Normal,122222,1999 or older,6 rooms or less,
1297,526321122,192,RM,"62,00",2,12822,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1,5Fin,6,6,1942,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,CBlock,TA,TA,No,BLQ,592,Unf,2,294,884,GasA,TA,Y,SBrkr,884,552,2,1436,2,2,2,2,3,2,TA,8,Typ,2,Gd,Detchd,1942,Unf,2,828,TA,TA,Y,2,2,126,2,2,2,,,,2,5,2228,Con,Normal,155222,1999 or older,7 rooms or more
1298,526321122,32,RM,"62,00",2,6756,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1912,1952,Mansard,CompShg,MetalSd,MetalSd,None,2,TA,TA,BrkTil,TA,Gd,No,Unf,2,Unf,2,481,481,GasA,TA,N,FuseA,899,2,2,899,2,2,1,2,2,1,TA,5,Typ,2,,Detchd,1932,Unf,1,222,Fa,TA,P,2,2,96,2,2,2,,,,2,9,2228,WD ,Normal,78222,1999 or older,6 rooms or less,
1299,526321122,52,RM,"44,00",2,5914,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,5,9,1892,1996,Gable,CompShg,Wd Sdng,HdBoard,None,2,TA,TA,BrkTil,Fa,TA,No,Unf,2,Unf,2,684,684,GasA,Gd,Y,SBrkr,684,396,2,1282,2,2,1,2,3,1,Gd,5,Typ,2,,,,,2,2,,,N,2,165,32,2,2,2,,,,2,9,2228,WD ,Normal,95222,1999 or older,6 rooms or less
1322,526321122,22,RM,"52,00",2,6222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1952,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,ALQ,124,BLQ,169,516,789,GasA,Ex,Y,SBrkr,789,2,2,789,2,2,1,2,2,1,TA,5,Typ,2,,Detchd,1948,Unf,1,252,TA,TA,Y,2,2,2,2,2,2,,,,2,4,2228,WD ,Partial,115222,1999 or older,6 rooms or less,
1321,526321122,22,RM,"122,00",2,12222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1948,2225,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,TA,TA,No,GLQ,144,ALQ,628,172,924,GasA,Ex,Y,SBrkr,1122,2,2,1122,1,2,1,2,2,1,Gd,6,Typ,2,,Attchd,1948,Unf,2,528,TA,TA,Y,2,36,2,2,2,2,,GdWo,,2,5,2228,WD ,Normal,147222,1999 or older,6 rooms or less,
1322,526321122,52,RM,"75,00",2,9222,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,5,6,1946,1952,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,TA,TA,No,Rec,445,Unf,2,459,924,GasA,Ex,Y,FuseA,924,595,2,1499,2,2,1,2,3,1,TA,5,Typ,1,Po,Detchd,1959,Unf,3,869,TA,Gd,Y,2,22,2,2,2,2,,,,2,6,2228,WD ,Normal,142222,1999 or older,6 rooms or less
1323,526321122,22,RM,"62,00",2,7311,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,5,1946,1952,Gable,CompShg,VinylSd,VinylSd,None,2,TA,Gd,BrkTil,TA,TA,No,Unf,2,Unf,2,427,427,GasA,TA,N,FuseA,427,2,2,427,2,2,1,2,1,1,TA,3,Typ,2,,Detchd,1949,Unf,1,297,Fa,TA,Y,76,2,122,2,2,2,,,,2,3,2228,WD ,Abnorml,46522,1999 or older,6 rooms or less,
1324,526321122,22,RM,"52,00",2,6222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,2,TA,TA,CBlock,TA,TA,No,Rec,328,Unf,2,622,928,GasA,Gd,Y,FuseA,928,2,2,928,2,2,1,2,3,1,TA,5,Typ,2,,Attchd,1957,Fin,1,288,TA,TA,Y,2,2,2,2,2,2,,,,2,6,2228,WD ,Normal,112522,1999 or older,6 rooms or less,
1325,526321122,22,RM,"52,00",2,6222,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1954,2222,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,TA,TA,No,Unf,2,Unf,2,921,921,GasA,Ex,Y,SBrkr,921,2,2,921,2,2,1,2,2,1,TA,4,Typ,2,,Detchd,1954,Unf,1,281,Fa,TA,Y,2,2,2,2,2,2,,,,2,8,2228,WD ,Normal,127922,1999 or older,6 rooms or less,
1326,526321122,22,RM,"123,00",2,12225,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,1,1949,1992,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,BrkTil,Fa,Fa,No,Unf,2,Unf,2,448,448,GasA,Gd,Y,SBrkr,1588,2,2,1588,2,2,2,2,5,1,TA,6,Maj2,2,,,,,2,2,,,N,2,2,2,2,2,2,,MnPrv,,2,12,2228,WD ,Abnorml,65222,1999 or older,6 rooms or less,
1327,526321122,75,RM,"87,00",2,18386,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2,5Fin,7,9,1882,2222,Gable,CompShg,CemntBd,CmentBd,None,2,TA,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,1472,1472,GasA,Ex,Y,SBrkr,1675,1818,2,3493,2,2,3,2,3,1,Gd,12,Typ,1,Ex,Attchd,2223,Unf,3,872,TA,TA,Y,322,2,2,2,2,2,,,,2,5,2228,WD ,Normal,295222,1999 or older,7 rooms or more
1328,526321122,192,RM,"69,00",2,9142,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,5,1922,2226,Gable,CompShg,MetalSd,MetalSd,None,2,TA,Fa,BrkTil,Fa,TA,No,Unf,2,Unf,2,797,797,GasA,TA,N,FuseA,832,797,2,1627,2,2,2,2,4,2,TA,12,Typ,2,,Detchd,1952,Unf,2,422,Fa,Po,N,192,2,62,2,2,2,,,,2,2,2228,WD ,Normal,139522,1999 or older,7 rooms or more,
1329,526321122,52,RM,"122,00",2,12665,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1,5Fin,5,8,1915,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,BrkTil,TA,TA,Mn,Unf,2,Unf,2,876,876,GasA,Gd,Y,SBrkr,876,542,2,1416,2,2,1,1,4,1,TA,7,Typ,1,Gd,Detchd,1949,Unf,3,722,TA,TA,Y,418,2,194,2,2,2,,,,2,6,2228,WD ,Normal,153922,1999 or older,7 rooms or more
1312,526321122,75,RM,"53,00",2,5352,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,7,8,1922,1965,Gable,CompShg,Wd Sdng,Wd Shng,None,2,TA,TA,BrkTil,TA,TA,No,BLQ,116,Unf,2,528,624,GasA,Ex,Y,SBrkr,732,722,2,1452,2,2,1,2,3,1,TA,7,Typ,2,,Detchd,1935,Unf,1,288,TA,TA,Y,2,192,2,2,2,2,,MnPrv,,2,3,2228,WD ,Normal,132222,1999 or older,7 rooms or more,
1311,526321122,72,RM,"34,00",2,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1952,Gable,CompShg,AsbShng,AsbShng,None,2,TA,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,624,624,GasA,Fa,N,SBrkr,624,722,2,1344,2,2,1,2,4,1,TA,7,Typ,2,,Detchd,1916,Unf,3,513,Fa,Fa,Y,2,2,96,2,2,2,,,,2,5,2228,COD,Abnorml,98222,1999 or older,7 rooms or more,
1312,526321122,52,RM,"69,00",2,9143,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,5,7,1922,2223,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,Unf,2,Unf,2,346,346,GasA,Ex,Y,SBrkr,729,328,2,1217,2,2,1,2,2,1,TA,5,Typ,2,,Detchd,1961,Unf,1,328,TA,TA,N,2,2,139,2,2,2,,,,2,5,2228,WD ,Normal,114222,1999 or older,6 rooms or less
1313,526321122,192,RM,"62,00",2,9622,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,5,1922,1962,Gable,CompShg,AsbShng,AsbShng,None,2,TA,TA,BrkTil,TA,TA,No,Rec,234,Unf,2,739,973,GasA,TA,Y,FuseP,1377,973,2,2352,2,2,2,2,4,2,TA,12,Typ,2,,2Types,1932,Unf,2,393,TA,TA,Y,2,2,219,2,2,2,,,,2,4,2228,WD ,Normal,132222,1999 or older,7 rooms or more,
1314,526321122,75,RM,"62,00",2,9622,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2,5Unf,6,5,1917,1952,Gable,CompShg,AsbShng,AsbShng,None,2,TA,TA,BrkTil,Gd,TA,No,Rec,319,Unf,2,416,735,OthW,Fa,N,SBrkr,1134,924,2,2258,2,2,1,1,3,1,TA,8,Typ,1,Gd,Detchd,1952,Unf,2,396,Fa,Fa,P,2,2,259,2,2,2,,,,2,4,2228,WD ,Normal,129522,1999 or older,7 rooms or more
1315,526321122,72,RM,"62,00",2,6222,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,1925,2225,Gable,CompShg,MetalSd,MetalSd,None,2,Gd,TA,BrkTil,Fa,TA,No,Unf,2,Unf,2,572,572,GasA,Ex,Y,SBrkr,884,656,2,1542,2,2,1,1,3,1,Gd,7,Typ,2,,,,,2,2,,,N,242,77,2,2,2,2,,,,2,2,2228,WD ,Normal,129422,1999 or older,7 rooms or more,
1316,526321122,72,RM,"62,00",2,9622,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2225,Gambrel,CompShg,MetalSd,MetalSd,None,2,TA,Ex,BrkTil,TA,TA,No,Rec,141,Unf,2,548,689,GasA,Ex,Y,SBrkr,689,689,2,1378,2,2,2,2,3,1,Gd,7,Typ,1,Gd,Detchd,1928,Unf,2,362,TA,TA,N,2,2,116,2,2,2,,,,2,12,2228,WD ,Normal,161222,1999 or older,7 rooms or more,
1317,526321122,192,RM,"62,00",2,12822,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1,5Fin,6,7,1925,2222,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,BrkTil,Fa,TA,No,Unf,2,Unf,2,482,482,GasA,Ex,N,SBrkr,1221,691,2,1912,2,2,2,2,3,2,TA,7,Typ,1,TA,Detchd,2223,Unf,2,672,Gd,TA,Y,2,25,212,2,2,2,,,,2,4,2228,WD ,Normal,163222,1999 or older,7 rooms or more
1318,526321122,75,RM,"35,00",2,6322,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2,5Unf,6,6,1914,2221,Gable,CompShg,Wd Sdng,Wd Shng,None,2,TA,TA,CBlock,TA,TA,No,Unf,2,Unf,2,742,742,GasA,Ex,Y,SBrkr,742,742,2,1484,2,2,2,2,3,1,TA,9,Typ,1,Gd,,,,2,2,,,Y,2,291,134,2,2,2,,,,2,6,2228,WD ,Normal,128222,1999 or older,7 rooms or more
1319,526321122,72,RM,"52,00",2,5252,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,5,1872,1987,Gable,CompShg,MetalSd,MetalSd,None,2,TA,Gd,BrkTil,TA,Fa,No,LwQ,259,Unf,2,425,684,OthW,Fa,N,SBrkr,938,1215,225,2358,2,2,2,2,4,1,TA,8,Typ,2,,,,,2,2,,,Y,2,54,22,2,2,2,,,,2,12,2228,WD ,Normal,122222,1999 or older,7 rooms or more,
1322,526321122,52,RM,,5722,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,7,7,1926,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,PConc,TA,TA,No,Unf,2,Unf,2,572,572,GasA,TA,Y,SBrkr,572,539,2,1111,2,2,1,2,2,1,TA,5,Typ,1,Gd,Detchd,1982,Unf,1,288,TA,TA,Y,2,2,176,2,2,2,,,,2,8,2228,WD ,Normal,116922,1999 or older,6 rooms or less,
1321,526321122,75,RM,"75,00",2,13522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,PosA,1Fam,2,5Unf,12,9,1893,2222,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,Ex,Ex,BrkTil,TA,TA,No,Unf,2,Unf,2,1237,1237,GasA,Gd,Y,SBrkr,1521,1254,2,2775,2,2,3,1,3,1,Gd,9,Typ,1,Gd,Detchd,1988,Unf,2,882,Gd,TA,Y,125,522,2,2,2,2,,,,2,7,2228,WD ,Normal,325222,1999 or older,7 rooms or more
1322,526321122,72,RM,"62,00",2,11342,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,2,1,1922,1952,Gable,CompShg,AsbShng,AsbShng,None,2,Fa,Fa,BrkTil,Fa,Fa,No,Unf,2,Unf,2,723,723,GasA,TA,N,SBrkr,723,363,2,1286,2,2,1,2,2,1,TA,5,Maj1,2,,Detchd,1922,Unf,2,422,Fa,Po,N,2,24,144,2,2,2,,,,2,11,2228,ConLD,Normal,55222,1999 or older,6 rooms or less,
1323,526321122,72,RM,"62,00",2,12822,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1892,1999,Gable,CompShg,Wd Sdng,Wd Shng,None,2,TA,TA,BrkTil,TA,TA,Mn,Unf,2,Unf,2,1313,1313,GasW,Gd,Y,SBrkr,1313,1182,2,2495,2,2,2,2,5,1,TA,12,Typ,1,Gd,Detchd,1952,Unf,2,342,TA,Fa,Y,2,299,2,2,2,2,,,,2,12,2228,WD ,Normal,184222,1999 or older,7 rooms or more,
1324,526321122,22,RM,"65,00",2,9752,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,MetalSd,MetalSd,BrkFace,164,TA,TA,CBlock,TA,TA,No,Rec,222,Unf,2,784,984,GasA,Gd,Y,SBrkr,984,2,2,984,1,2,1,2,2,1,Fa,5,Typ,2,,Detchd,1959,Unf,1,328,TA,TA,N,2,2,2,2,2,2,,,,2,6,2228,WD ,Normal,112222,1999 or older,6 rooms or less,
1325,526321122,52,RM,"81,00",2,12152,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1,5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335,TA,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,1252,1252,GasA,Ex,N,FuseF,1252,745,2,1795,2,2,2,2,4,1,TA,7,Typ,2,,Attchd,1954,Unf,1,352,Fa,TA,Y,2,2,2,2,2,2,,,,2,11,2228,WD ,Normal,131522,1999 or older,7 rooms or more
1326,526321122,22,RM,"72,00",2,12722,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,2,TA,TA,PConc,,,,,2,,2,2,2,GasA,Gd,Y,FuseA,882,2,2,882,2,2,1,2,2,1,TA,4,Typ,2,,Detchd,1956,Unf,1,328,TA,TA,Y,2,45,2,2,2,2,,,,2,12,2228,WD ,Normal,97222,1999 or older,6 rooms or less,
1327,526321122,22,RM,"52,00",2,8516,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1958,2226,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,CBlock,TA,TA,No,Unf,2,Unf,2,869,869,GasA,TA,Y,SBrkr,1293,2,2,1293,2,2,1,2,2,1,TA,5,Typ,2,,Detchd,1959,Unf,1,328,TA,TA,Y,2,2,2,2,2,2,,,,2,5,2228,WD ,Normal,115522,1999 or older,6 rooms or less,
1328,526321122,32,RL,"55,00",2,7111,Pave,,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1928,1983,Gable,CompShg,WdShing,Wd Shng,None,2,Gd,Gd,BrkTil,TA,TA,No,LwQ,426,BLQ,273,329,1228,GasA,TA,Y,SBrkr,1143,2,2,1143,2,2,1,2,2,1,TA,5,Typ,1,Po,Detchd,1992,Unf,1,288,TA,TA,Y,265,2,2,2,2,2,,GdPrv,,2,7,2228,WD ,Normal,138222,1999 or older,6 rooms or less,
1329,526321122,52,RM,,7425,Pave,,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,RRAn,Artery,1Fam,1,5Fin,7,7,1945,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,CBlock,TA,Fa,No,Unf,2,Unf,2,672,672,GasA,Gd,Y,SBrkr,1195,473,2,1668,2,2,1,1,3,1,Gd,8,Typ,2,,Attchd,1945,Unf,1,252,TA,TA,Y,212,2,2,2,2,2,,,,2,8,2228,WD ,Abnorml,128222,1999 or older,7 rooms or more,
1332,526321122,42,RM,"52,00",2,9122,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,6,1932,1962,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,BrkTil,TA,TA,No,Unf,2,Unf,2,742,742,GasA,TA,Y,FuseA,779,2,156,935,2,2,1,2,2,1,TA,4,Typ,2,,Detchd,1988,Unf,1,328,TA,TA,P,2,2,2,2,2,2,,,Shed,622,8,2228,WD ,Normal,79522,1999 or older,6 rooms or less,
1331,526321122,52,RL,,7212,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1,5Fin,5,5,1935,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,TA,BrkTil,TA,TA,No,Rec,175,Unf,2,849,1224,GasA,TA,Y,SBrkr,1144,594,2,1738,2,2,2,2,3,1,TA,6,Typ,1,Gd,Detchd,1952,Unf,1,242,TA,TA,P,2,32,2,2,2,2,,,,2,7,2228,WD ,Normal,153222,1999 or older,6 rooms or less,
1332,526321122,45,RM,"52,00",2,6132,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1,5Unf,5,6,1924,1952,Gable,CompShg,MetalSd,MetalSd,None,2,TA,TA,BrkTil,TA,TA,No,ALQ,784,Unf,2,2,784,GasA,Gd,Y,SBrkr,784,2,2,784,1,2,1,2,2,1,Gd,5,Typ,2,,,,,2,2,,,Y,2,2,116,2,2,2,,,,2,5,2228,WD ,Normal,129522,1999 or older,6 rooms or less
1333,526321122,52,RM,"52,00",2,5222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1,5Fin,5,7,1941,2226,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,TA,Gd,CBlock,TA,TA,No,ALQ,622,Unf,2,72,672,GasA,Ex,Y,SBrkr,832,378,2,1212,2,2,1,2,3,1,Gd,6,Typ,2,,Detchd,1941,Unf,1,242,TA,TA,P,2,2,2,2,2,2,,,,2,5,2228,WD ,Normal,124222,1999 or older,6 rooms or less
1334,526321122,72,RM,"59,00",2,5872,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Feedr,1Fam,2Story,6,9,1922,2222,Gable,CompShg,HdBoard,HdBoard,None,2,TA,Gd,BrkTil,TA,TA,No,Unf,2,Unf,2,554,554,GasA,Ex,Y,SBrkr,736,554,2,1292,2,2,1,1,3,1,TA,6,Typ,2,,Detchd,1926,Unf,1,222,Fa,TA,Y,38,112,2,2,2,2,,MnPrv,Shed,422,4,2228,WD ,Normal,126922,1999 or older,6 rooms or less,
